"Key"	"English"	"Welsh"	"Comments"
"claimReasonType.hint"	"This would be the reason that applies to most of your application"		"No Welsh translation found"
"claimReasonType.checkYourAnswersLabel.single"	"Reason for overpayment"		"No Welsh translation found"
"claimReasonType.checkYourAnswersLabel.multiple"	"Reasons for overpayment"		"No Welsh translation found"
"claimReasonType.checkYourAnswersLabel.main"	"Main reason for overpayment"		"No Welsh translation found"
"reasonForOverpayment.bullet9"	"why any goods were returned"		"No Welsh translation found"
"reasonForOverpayment.bullet10"	"if any goods have been destroyed by request"		"No Welsh translation found"
"reasonForOverpayment.bullet.claimReasonMultiple"	"if your application has more than one reason"		"No Welsh translation found"
"evidenceSupportingDocs.paragraph1.single"	"The documents we need to process your claim must include:"		"No Welsh translation found"
"evidenceSupportingDocs.paragraph1.multiple-small"	"The documents we need <b>for each entry</b> must include:"		"No Welsh translation found"
"evidenceSupportingDocs.paragraph1.multiple-large"	"We must have:"		"No Welsh translation found"
"evidenceSupportingDocs.paragraph2.multiple-large"	"As you are claiming for multiple entries, you can either give us:"		"No Welsh translation found"
"evidenceSupportingDocs.bullet1.multiple-large"	"the documents above <b>for each entry</b>"		"No Welsh translation found"
"evidenceSupportingDocs.bullet2.multiple-large"	"the documents for the oldest entry you have listed. We will ask for more information later."		"No Welsh translation found"
"repaymentType.hint.01"	"You can only use this option if you made the original payment using a duty deferment account."		"No Welsh translation found"
"bankDetails.title.importer"	"Enter the importer’s bank details"		"No Welsh translation found"
"bankDetails.title.representative"	"Enter your bank details"		"No Welsh translation found"
"bankDetails.hint"	"This must be a UK account that accepts Bacs payments."		"No Welsh translation found"
"bankDetails.name.importer.hint"	"Enter the name as it appears on their bank statement."		"No Welsh translation found"
"bankDetails.name.representative.hint"	"Enter the name as it appears on your bank statement."		"No Welsh translation found"
"indirectRepresentative.hintText"	"An indirect representative acts in their own name but on behalf of another party. Both parties accept joint liability for the information provided."		"No Welsh translation found"
