"customsRegulationType.importer"	"You can find this on the E2 document under &#8216;Entry Acceptance Details&#x2019;, or by asking your shipping agent or courier."	"Gallwch ddod o hyd i hyn yn y ddogfen E2 o dan &#8216;Manylion Derbyn y Cofnod&#x2019; (‘Entry Acceptance Details’), neu drwy ofyn i’ch asiant cludo neu’ch cludwr."	Added.
"customsRegulationType.representative"	"You can find this on the E2 document."	"Gallwch ddod o hyd i hyn yn y ddogfen E2."	Added.
"customsRegulationType.01"	"On or before 31 December 2020"	"Ar neu cyn 31 Rhagfyr 2020"	Added.
"customsRegulationType.02"	"From 1 January 2021"	"O 1 Ionawr 2021 ymlaen"	Added.
"customsRegulationType.checkYourAnswersLabel"	"Acceptance date"	"Dyddiad derbyn"	Added.
"customsRegulationType.error.required"	"Select an option to continue"	"Dewiswch opsiwn i fynd yn eich blaen"	Added.
"articleType.title"	"Why are you applying for this repayment?"	"Pam yr ydych yn gwneud cais am yr ad-daliad hwn?"	Added.
"articleType.heading"	"Why are you applying for this repayment?"	"Pam yr ydych yn gwneud cais am yr ad-daliad hwn?"	Added.
"articleType.117"	"Overpayment of duty or VAT (Article 117)"	"Gordaliad o doll neu TAW (Erthygl 117)"	Added.
"articleType.119"	"Error by customs (Article 119)"	"Gwall ar ran yr awdurdodau tollau (Erthygl 119)"	Added.
"articleType.120"	"Exceptional circumstances (Article 120)"	"Amgylchiadau eithriadol (Erthygl 120)"	Added.
"articleType.checkYourAnswersLabel"	"Reason for application"	"Rheswm dros wneud cais"	Added.
"articleType.error.required"	"Select the reason you are applying for this repayment"	"Dewiswch y rheswm dros wneud cais am yr ad-daliad hwn"	Added.
"ukRegulationType.title"	"Why are you applying for this repayment?"	"Pam yr ydych yn gwneud cais am yr ad-daliad hwn?"	Added.
"ukRegulationType.heading"	"Why are you applying for this repayment?"	"Pam yr ydych yn gwneud cais am yr ad-daliad hwn?"	Added.
"ukRegulationType.048"	"Error by Customs (Regulation 48)"	"Gwall ar ran yr awdurdodau tollau (Rheoliad 48)"	Added.
"ukRegulationType.049"	"Lower rate was applicable (Regulation 49)"	"Roedd cyfradd is yn berthnasol (Rheoliad 49)"	Added.
"ukRegulationType.050"	"Overpayment of duty or VAT (Regulation 50)"	"Gordaliad o doll neu TAW (Rheoliad 50)"	Added.
"ukRegulationType.051"	"Rejected (Regulation 51)"	"Fe’i gwrthodwyd (Rheoliad 51)"	Added.
"ukRegulationType.052"	"Special circumstances (Regulation 52)"	"Amgylchiadau arbennig (Rheoliad 52)"	Added.
"ukRegulationType.053"	"Withdrawal of customs declaration (Regulation 53)"	"Tynnu datganiad tollau yn ôl (Rheoliad 53)"	Added.
"ukRegulationType.checkYourAnswersLabel"	"Reason for application"	"Rheswm dros wneud cais"	Added.
"ukRegulationType.error.required"	"Select why you are applying for this repayment"	"Dewiswch pam yr ydych yn gwneud cais am yr ad-daliad hwn"	Added.
"numberOfEntriesType.title"	"How many entries do you want to submit?"	"Faint o gofnodion yr ydych am eu cyflwyno?"	Added.
"numberOfEntriesType.heading"	"How many entries do you want to submit?"	"Faint o gofnodion yr ydych am eu cyflwyno?"	Added.
"numberOfEntriesType.hint"	"Multiple entries must be from the same importer, and have the same reason for overpayment."	"Mae’n rhaid i gofnodion lluosog ddod o’r un mewnforiwr ac mae’n rhaid iddynt gynnwys yr un rheswm dros ordalu."	Added.
"numberOfEntriesType.01"	"One entry"	"Un cofnod"	Added.
"numberOfEntriesType.02"	"Multiple entries"	"Cofnodion lluosog"	Added.
"numberOfEntriesType.02.hint"	"Number of entries"	"Nifer y cofnodion"	Added.
"numberOfEntriesType.checkYourAnswersLabel"	"How many entries do you want to submit?"	"Faint o gofnodion yr ydych am eu cyflwyno?"	Added.
"numberOfEntriesType.single.checkYourAnswersLabel"	"One entry"	"Un cofnod"	Added.
"numberOfEntriesType.multiple.checkYourAnswersLabel"	"Multiple entries"	"Cofnodion lluosog"	Added.
"numberOfEntriesType.error.required"	"Select if you want to submit one entry or more than one entry"	"Dewiswch a ydych am gyflwyno un cofnod neu fwy nag un cofnod"	Added.
"howManyEntries.title"	"How many entries are you claiming for?"	"Faint o gofnodion yr ydych yn hawlio ar eu cyfer?"	Added.
"howManyEntries.heading"	"How many entries are you claiming for?"	"Faint o gofnodion yr ydych yn hawlio ar eu cyfer?"	Added.
"howManyEntries.checkYourAnswersLabel"	"Number of entries"	"Nifer y cofnodion"	Added.
"howManyEntries.error.required"	"Enter the number of entries you are claiming for"	"Nodwch nifer y cofnodion rydych yn hawlio ar eu cyfer"	Added.
"howManyEntries.error.length"	"The number of entries must be between 2 and 999,999"	"Mae’n rhaid i nifer y cofnodion fod rhwng 2 a 999,999"	Added.
"entryDetails.single.title"	"Add the details for this entry"	"Ychwanegwch y manylion ar gyfer y cofnod hwn"	Added.
"entryDetails.multiple.title"	"Enter the details of the oldest entry"	"Nodwch fanylion y cofnod hynaf"	Added.
"entryDetails.single.heading"	"Add the details for this entry"	"Ychwanegwch y manylion ar gyfer y cofnod hwn"	Added.
"entryDetails.multiple.heading"	"Enter the details of the oldest entry"	"Nodwch fanylion y cofnod hynaf"	Added.
"entryDetails.importer.hint"	"These can be found in box 1 of the C88 document, or by asking your shipping agent or courier."	"Gellir dod o hyd i’r rhain ym mlwch 1 yn y ddogfen C88, neu drwy ofyn i’ch asiant cludo neu’ch cludwr amdanynt"	Added.
"entryDetails.representative.hint"	"These can be found on the C88 document."	"Gellir dod o hyd i’r rhain yn y ddogfen C88."	Added.
"entryDetails.claimEpu.heading"	"Entry processing unit (EPU) number"	"Rhif yr Uned Prosesu Cofnodion (EPU)"	Added.
"entryDetails.claimEpu.hint"	"This is 3 numbers, for example 131."	"Rhif 3 digid yw hwn, er enghraifft 131."	Added.
"entryDetails.claimEpu.error.required"	"Enter the entry processing unit (EPU) number"	"Nodwch rif yr Uned Prosesu Cofnodion (EPU)"	Added.
"entryDetails.claimEpu.error.valid"	"Enter a three digit entry processing unit (EPU) number"	"Nodwch rif Uned Prosesu Cofnodion (EPU) tri digid"	Added.
"entryDetails.entryNumber.heading"	"Entry number"	"Rhif y cofnod"	Added.
"entryDetails.entryNumber.hint"	"This is 6 numbers and a letter, for example 123456Q."	"Mae hwn yn cynnwys 6 rhif a llythyren, er enghraifft 123456Q."	Added.
"entryDetails.entryNumber.error.required"	"Enter the entry number"	"Nodwch rif y cofnod"	Added.
"entryDetails.entryNumber.error.valid"	"Enter a valid entry number"	"Nodwch rif cofnod dilys"	Added.
"entryDetails.entryDate.heading"	"Entry date"	"Dyddiad y cofnod"	Added.
"entryDetails.entryDate.hint"	"For example, 25 3 2019."	"Er enghraifft, 25 3 2019."	Added.
"entryDetails.claimEntryDate.error.required"	"Enter the entry date"	"Nodwch ddyddiad y cofnod"	Added.
"entryDetails.claimEntryDate.error.invalid"	"Enter the entry date in the correct format"	"Nodwch ddyddiad y cofnod yn y fformat cywir"	Added.
"entryDetails.claimEntryDate.error.invalid_future"	"The entry date must be today or in the past"	"Mae’n rhaid i ddyddiad y cofnod fod heddiw neu yn y gorffennol"	Added.
"error.date.day_blank"	"Entry date must include a day"	"Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod"	Added.
"error.date.day_invalid"	"Enter the day in the correct format"	"Nodwch y diwrnod yn y fformat cywir"	Added.
"error.date.month_blank"	"Entry date must include a month"	"Mae’n rhaid i ddyddiad y cofnod gynnwys mis"	Added.
"error.date.month_invalid"	"Enter the month in the correct format"	"Nodwch y mis yn y fformat cywir"	Added.
"error.date.year_blank"	"Entry date must include a year"	"Mae’n rhaid i ddyddiad y cofnod gynnwys blwyddyn"	Added.
"error.date.year_invalid"	"Enter the year in the correct format"	"Nodwch y flwyddyn yn y fformat cywir"	Added.
"error.date.all"	"Entry date must be a real date"	"Mae’n rhaid i ddyddiad y cofnod fod yn ddyddiad go iawn"	Added.
"error.date.day_month"	"Entry date must include a day and month"	"Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod a mis"	Added.
"error.date.day_year"	"Entry date must include a day and year"	"Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod a blwyddyn"	Added.
"error.date.month_year"	"Entry date must include a month and year"	"Mae’n rhaid i ddyddiad y cofnod gynnwys mis a blwyddyn"	Added.
"entryDetails.checkYourAnswersLabel"	"Entry information"	"Gwybodaeth am y cofnod"	Added.
"entryDetails.epu.checkYourAnswersLabel"	"EPU number"	"Rhif EPU"	Added.
"entryDetails.number.checkYourAnswersLabel"	"Entry number"	"Rhif y cofnod"	Added.
"entryDetails.date.checkYourAnswersLabel"	"Entry date"	"Dyddiad y cofnod"	Added.
"claimEntryNumber.checkYourAnswersLabel"	"What is the entry number?"	"Beth yw rhif y cofnod?"	Added.
"claimEntryDate.checkYourAnswersLabel"	"What was the entry date?"	"Beth oedd dyddiad y cofnod?"	Added.
"applicationInformation.checkYourAnswersLabel"	"Application information"	"Gwybodaeth am y cais"	Added.
"claimReasonType.title"	"What does your application relate to?"	"Beth mae’ch cais yn ymwneud ag ef?"	Added.
"claimReasonType.heading"	"What does your application relate to?"	"Beth mae’ch cais yn ymwneud ag ef?"	Added.
"claimReasonType.01"	"Retroactive quota"	"Cwota ôl-weithredol"	Added.
"claimReasonType.02"	"Customs procedure code change"	"Newid i’r cod gweithdrefnau tollau"	Added.
"claimReasonType.03"	"Currency change"	"Newid i’r arian cyfred"	Added.
"claimReasonType.04"	"Commodity code change"	"Newid i’r cod nwyddau"	Added.
"claimReasonType.05"	"Customs special procedures"	"Gweithdrefnau arbennig y tollau"	Added.
"claimReasonType.06"	"Preference"	"Ffafriaeth"	Added.
"claimReasonType.07"	"Returned goods relief"	"Rhyddhad ar nwyddau a ddychwelwyd"	Added.
"claimReasonType.08"	"Return of unwanted goods"	"Dychwelyd nwyddau nad oes eu hangen"	Added.
"claimReasonType.09"	"Value"	"Gwerth"	Added.
"claimReasonType.10"	"Something not listed"	"Rhywbeth heb ei restru"	Added.
"claimReasonType.or"	"or"	"neu"	Added.
"claimReasonType.checkYourAnswersLabel"	"Reason for overpayment"	"Rheswm dros y gordaliad"	Added.
"claimReasonType.error.required"	"Select what your application relates to"	"Dewiswch beth mae’ch cais yn ymwneud ag ef"	Added.
"reasonForOverpayment.title"	"Tell us why the overpayment happened"	"Dywedwch wrthym pam y digwyddodd y gordaliad"	Added.
"reasonForOverpayment.heading"	"Tell us why the overpayment happened"	"Dywedwch wrthym pam y digwyddodd y gordaliad"	Added.
"reasonForOverpayment.checkYourAnswersLabel"	"Why the overpayment happened"	"Pam y digwyddodd y gordaliad"	Added.
"reasonForOverpayment.error.required"	"Tell us why the overpayment happened"	"Dywedwch wrthym pam y digwyddodd y gordaliad"	Added.
"reasonForOverpayment.error.length"	"Overpayment reason must be 1200 characters or less"	"Mae’n rhaid i’r rheswm dros y gordaliad fod yn 1200 o gymeriadau neu lai"	Added.
"reasonForOverpayment.hint"	"If you do not provide enough information, we may be unable to process your application."	"Os na fyddwch yn rhoi digon o wybodaeth, mae’n bosibl na fyddwn yn gallu prosesu’ch cais."	Added.
"reasonForOverpayment.p1"	"You can tell us about:"	"Gallwch roi gwybod i ni am:"	Added.
"reasonForOverpayment.bullet1"	"any commodity codes"	"unrhyw godau nwyddau"	Added.
"reasonForOverpayment.bullet2"	"changes in currency or exchange rates"	"newidiadau mewn arian cyfred neu gyfraddau cyfnewid"	Added.
"reasonForOverpayment.bullet3"	"changes to customs procedures"	"newidiadau mewn gweithdrefnau tollau"	Added.
"reasonForOverpayment.bullet4"	"any preferential rates or schemes that applied"	"unrhyw gynlluniau neu gyfraddau ffafriol a oedd yn berthnasol"	Added.
"reasonForOverpayment.bullet5"	"whether any items were replaced or refunded, and why"	"p’un a gafodd unrhyw eitemau eu newid neu eu had-dalu, a pham"	Added.
"reasonForOverpayment.bullet6"	"changes to the value of goods"	"newidiadau i werth nwyddau"	Added.
"reasonForOverpayment.bullet7"	"the number of items or goods"	"nifer yr eitemau neu’r nwyddau"	Added.
"reasonForOverpayment.bullet8"	"a description of the items or goods"	"disgrifiad o’r eitemau neu’r nwyddau"	Added.
"claimRepaymentType.title"	"What do you want to reclaim?"	"Beth hoffech ei adennill?"	Added.
"claimRepaymentType.heading"	"What do you want to reclaim?"	"Beth hoffech ei adennill?"	Added.
"claimRepaymentType.representative.hint"	"Select all that apply."	"Dewiswch bob un sy’n berthnasol."	Added.
"claimRepaymentType.importer.hint"	"<p>You can check with your shipping courier if you are not sure.</p> <div class=""govuk-hint"">Select all that apply.</div>"	"<p>Gallwch wirio gyda’ch cludwr os nad ydych yn siŵr.</p> <div class=""govuk-hint"">Dewiswch bob un sy’n berthnasol.</div>"	Added.
"claimRepaymentType.01"	"Customs Duty"	"Toll Dramor"	Added.
"claimRepaymentType.02"	"VAT"	"TAW"	Added.
"claimRepaymentType.03"	"Another type of duty"	"Math arall o doll"	Added.
"claimRepaymentType.checkYourAnswersLabel"	"What do you want to reclaim?"	"Beth hoffech ei adennill?"	Added.
"claimRepaymentType.error.required"	"Select what you want to reclaim"	"Dewiswch beth yr hoffech ei adennill"	Added.
"evidenceSupportingDocs.title"	"Required supporting documents"	"Dogfennau ategol angenrheidiol"	Added.
"evidenceSupportingDocs.heading"	"Required supporting documents"	"Dogfennau ategol angenrheidiol"	Added.
"evidenceSupportingDocs.paragraph1"	"These are the documents we must have to process your claim."	"Dyma’r dogfennau y mae’n rhaid i ni eu cael i brosesu’ch hawliad."	Added.
"evidenceSupportingDocs.h2"	"Types of files you can upload"	"Y mathau o ffeiliau y gallwch eu huwchlwytho"	Added.
"evidenceSupportingDocs.checkYourAnswersLabel"	"Supporting documents"	"Dogfennau ategol"	Added.
"evidenceSupportingDocs.error.required"	"Select Supporting documents"	"Dewiswch ddogfennau ategol"	Added.
"claimReason.documents.c88"	"<b>C88</b>, which authorises imports from the country of origin"	"<b>C88</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol"	Added.
"claimReason.documents.e2"	"<b>E2</b>, which authorises imports from the country of origin"	"<b>E2</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol"	Added.
"claimReason.documents.commercial_invoice"	"<b>Commercial invoice</b>, which shows the value of the goods"	"<b>Anfoneb fasnachol</b>, sy’n dangos gwerth y nwyddau"	Added.
"claimReason.documents.substitute_entry"	"<b>Substitute entry</b>, which shows changes made to the original entry"	"<b>Cofnod cyfnewid</b>, sy’n dangos newidiadau a wnaed i’r cofnod gwreiddiol"	Added.
"claimReason.documents.currency_charge_evicence"	"Evidence that the invoice has been corrected in another currency"	"Tystiolaeth bod yr anfoneb wedi’i chywiro mewn arian cyfred arall"	Added.
"claimReason.documents.airway_bill"	"<b>Airway bill</b> or <b>bill of lading</b> that show shipping details"	"<b>Bil teithrestr awyr</b> neu <b>bil llwytho</b>, sy’n dangos y manylion cludo"	Added.
"claimReason.documents.proof_of_origin"	"<b>Proof of origin documents</b>, such as a GSP certificate"	"<b>Dogfennau tystiolaeth o darddiad</b>, megis tystysgrif GSP"	Added.
"claimReason.documents.proof_of_quota"	"Proof of the quota and commodity codes that are being claimed against"	"Tystiolaeth o’r cwota a’r codau nwyddau y gwneir hawliad yn eu herbyn"	Added.
"claimReason.documents.proof_of_return"	"Proof of return"	"Prawf o ddychwelyd"	Added.
"claimReason.documents.evidence_of_export"	"Evidence of the original export"	"Tystiolaeth o’r allforio gwreiddiol"	Added.
"claimReason.documents.evidence_of_corrected_invoice"	"Evidence of corrected invoice"	"Tystiolaeth o anfoneb wedi’i chywiro"	Added.
"claimReason.documents.additional.documents.para"	"You may also include additional documents if you think they are relevant."	"Gallwch hefyd gynnwys dogfennau ychwanegol os ydych yn credu eu bod yn berthnasol."	Added.
"declarantReferenceNumber.title"	"Do you want to use your own reference?"	"A hoffech ddefnyddio’ch cyfeirnod eich hun?"	Added.
"declarantReferenceNumber.heading"	"Do you want to use your own reference?"	"A hoffech ddefnyddio’ch cyfeirnod eich hun?"	Added.
"declarantReferenceNumber.hint1"	"This could be an employee reference or something else to help identify who is making this application. We will only include it in letters about this application."	"Gallai hyn fod yn gyfeirnod cyflogai neu’n rhywbeth arall i helpu i amlygu pwy sy’n gwneud y cais hwn. Byddwn ond yn ei gynnwys mewn llythyrau ynghylch y cais hwn."	Added.
"declarantReferenceNumber.hint2"	"You will be given a separate application reference when this application is complete."	"Rhoddir cyfeirnod cais ar wahân i chi pan fydd y cais hwn wedi’i gwblhau."	Added.
"declarantReferenceNumber.01"	"Yes"	"Iawn"	Added.
"declarantReferenceNumber.02"	"No"	"Na"	Added.
"declarantReferenceNumber.checkYourAnswersLabel.answer"	"Your reference"	"Eich cyfeirnod"	Added.
"declarantReferenceNumber.yes.checkYourAnswersLabel"	"Yes"	"Iawn"	Added.
"declarantReferenceNumber.no.checkYourAnswersLabel"	"No"	"Na"	Added.
"declarantReferenceNumber.checkYourAnswersLabel.question"	"Do you want to use your own reference?"	"A hoffech ddefnyddio’ch cyfeirnod eich hun?"	Added.
"declarantReferenceNumber.error.required.declarantReferenceNumber"	"Enter a reference"	"Nodwch gyfeirnod"	Added.
"declarantReferenceNumber.error.invalid.length"	"The reference must be 50 characters or less"	"Rhaid i’r cyfeirnod fod yn 50 o gymeriadau neu lai"	Added.
"declarantReferenceNumber.error.required"	"Select yes if you want to use your own reference"	"Dewiswch ‘Iawn’ os hoffech ddefnyddio’ch cyfeirnod eich hun"	Added.
"importerName.title"	"What is the name on the import documents?"	"Beth yw’r enw ar y dogfennau mewnforio?"	Added.
"importerName.heading"	"What is the name on the import documents?"	"Beth yw’r enw ar y dogfennau mewnforio?"	Added.
"importerName.checkYourAnswersLabel"	"Name on import documents"	"Enw ar y dogfennau mewnforio"	Added.
"importerName.error.required"	"Enter the name on the import documents"	"Nodwch yr enw sydd ar y dogfennau mewnforio"	Added.
"importerName.error.length"	"Name on the import documents must be 512 characters or less"	"Mae’n rhaid i’r enw sydd ar y dogfennau mewnforio fod yn 512 o gymeriadau neu lai"	Added.
"importerName.error.invalid"	"Name on the import documents must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces"	"Mae’r enw sydd ar y dogfennau mewnforio ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau"	Added.
"phoneNumber.title"	"Enter your phone number"	"Nodwch eich rhif ffôn"	Added.
"phoneNumber.heading"	"Enter your phone number"	"Nodwch eich rhif ffôn"	Added.
"phoneNumber.checkYourAnswersLabel"	"Phone number"	"Rhif ffôn"	Added.
"phoneNumber.error.required"	"Enter your phone number"	"Nodwch eich rhif ffôn"	Added.
"phoneNumber.error.length"	"Phone number must be 11 numbers"	"Mae’n rhaid i’r rhif ffôn fod yn 11 rhif"	Added.
