Key	English	Welsh
index.title	Apply for repayment of import duty and import VAT	Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio
index.heading	Apply for repayment of import duty and import VAT	Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio
index.guidance	Welcome to your new frontend. Please see the README file for a guide to getting started.	
session_expired.title	For your security, we signed you out	Er eich diogelwch, gwnaethom eich allgofnodi
session_expired.heading	For your security, we signed you out	Er eich diogelwch, gwnaethom eich allgofnodi
session_expired.guidance	We did not save your answers.	Ni wnaethom gadw’ch atebion.
session_expired.button	Sign in	Mewngofnodi
timeout.title	For your security, we will sign you out	Er eich diogelwch, byddwn yn eich allgofnodi
timeout.message	For your security, we will sign you out in $	Er eich diogelwch, byddwn yn eich allgofnodi ymhen $
timeout.keepAlive	Stay signed in	Parhau i fod wedi’ch mewngofnodi
timeout.signOut	Sign out	Allgofnodi
site.back	Back	Yn ôl
site.delete	Remove	Tynnu
site.edit	Change	Newid
site.hidden-delete	Delete {0}	Dileu {0}
site.hidden-edit	Change {0}	Newid {0}
site.no	No	Na
site.yes	Yes	Iawn
site.continue	Continue	Yn eich blaen
find.address	Find address	Dod o hyd i gyfeiriad
site.service_name	Apply for repayment of import duty and import VAT	Gwneud cais am ad-daliad o dollau mewnforio a TAW mewnforio
site.textarea.char_limit	(Limit is {0} characters)	(Y terfyn yw {0} o gymeriadau)
site.govuk	GOV.UK	GOV.UK/CYMRAEG
footer.cookies	Cookies	Cwcis
footer.privacy	Privacy policy	Polisi preifatrwydd
footer.termsConditions	Terms and conditions	Telerau ac amodau
footer.govukHelp	Help using GOV.UK	Help wrth ddefnyddio GOV.UK
footer.accessibilityStatement	Accessibility statement	Datganiad hygyrchedd
unauthorised.title	You can’t access this service with this account	Ni allwch ddefnyddio’r gwasanaeth hwn gyda’r cyfrif hwn
unauthorised.heading	You can’t access this service with this account	Ni allwch ddefnyddio’r gwasanaeth hwn gyda’r cyfrif hwn
importerHasEori.title	Do you have an EORI number?	A oes gennych rif EORI?
importerHasEori.heading	Do you have an EORI number?	A oes gennych rif EORI?
importerHasEori.checkYourAnswersLabel	Do you have an EORI number?	A oes gennych rif EORI?
importerHasEori.error.required	Select yes if you have an EORI number	Dewiswch ‘Iawn’ os oes gennych rif EORI
claimantType.title	Are you the importer or their representative?	Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?
claimantType.heading	Are you the importer or their representative?	Ai’r mewnforiwr neu gynrychiolydd y mewnforiwr ydych chi?
claimantType.01	I am the importer	Y mewnforiwr ydw i
claimantType.02	I am a representative of the importer	Cynrychiolydd y mewnforiwr ydw i
claimantType.checkYourAnswersLabel	Are you the importer or representative?	Ai’r mewnforiwr neu’r cynrychiolydd ydych chi?
claimantType.error.required	Select if you are the importer or a representative of the importer	Dewiswch ai chi yw’r mewnforiwr neu gynrychiolydd y mewnforiwr
claimantType.importer	Importer	Mewnforiwr
claimantType.representative	Representative	Cynrychiolydd
impInfo.checkYourAnswersLabel	Import information	Gwybodaeth fewnforio
importerEori.title	What is your EORI number?	Beth yw’ch rhif EORI?
importerEori.heading	What is your EORI number?	Beth yw’ch rhif EORI?
importerEori.checkYourAnswersLabel	Your EORI number	Eich rhif EORI
importerEori.error.invalid	Enter your EORI number	Nodwch eich rhif EORI
isVATRegistered.title	Are you VAT registered?	A ydych wedi’ch cofrestru ar gyfer TAW?
isVATRegistered.heading	Are you VAT registered?	A ydych wedi’ch cofrestru ar gyfer TAW?
isVATRegistered.01	Yes	Iawn
isVATRegistered.02	No	Na
isVATRegistered.checkYourAnswersLabel	Are you VAT registered?	A ydych wedi’ch cofrestru ar gyfer TAW?
isVATRegistered.error.required	Select yes if you are VAT registered	Dewiswch ‘Iawn’ os ydych wedi’ch cofrestru ar gyfer TAW
isVATRegistered.details.header	Help with VAT registration	Help gyda chofrestru ar gyfer TAW
isVATRegistered.details.p1	You must register your business for VAT with HMRC if its VAT taxable turnover is over the current VAT registration threshold.	Mae’n rhaid i chi gofrestru’ch busnes ar gyfer TAW gyda CThEM os yw ei drosiant trethadwy TAW dros y trothwy cofrestru TAW presennol.
isVATRegistered.details.p2	You can register voluntarily if your turnover is under the threshold, unless everything you sell is exempt.	Gallwch gofrestru’n wirfoddol os yw’ch trosiant o dan y trothwy, oni bai bod popeth yr ydych yn ei werthu wedi’i eithrio.
importerClaimantVrn.title	What is your VRN number?	Beth yw’ch Rhif Cofrestru TAW (VRN)?
importerClaimantVrn.heading	What is your VRN number?	Beth yw’ch Rhif Cofrestru TAW (VRN)?
importerClaimantVrn.checkYourAnswersLabel	What is your VRN number?	Beth yw’ch Rhif Cofrestru TAW (VRN)?
importerClaimantVrn.error.required	Enter your VRN number	Nodwch eich rhif VRN
importerClaimantVrn.error.length	VRN number must be 9 characters or less	Mae’n rhaid i’r rhif VRN fod yn 9 o gymeriadau neu lai
customsRegulationType.title	What was the entry acceptance date?	Beth oedd y dyddiad derbyn ar gyfer y cofnod?
customsRegulationType.heading	What was the entry acceptance date?	Beth oedd y dyddiad derbyn ar gyfer y cofnod?
customsRegulationType.importer	You can find this on the E2 document under &#8216;Entry Acceptance Details&#x2019;, or by asking your shipping agent or courier.	Gallwch ddod o hyd i hyn yn y ddogfen E2 o dan &#8216;Manylion Derbyn y Cofnod&#x2019; (‘Entry Acceptance Details’), neu drwy ofyn i’ch asiant cludo neu’ch cludwr.
customsRegulationType.representative	You can find this on the E2 document.	Gallwch ddod o hyd i hyn yn y ddogfen E2.
customsRegulationType.01	On or before 31 December 2020	Ar neu cyn 31 Rhagfyr 2020
customsRegulationType.02	From 1 January 2021	O 1 Ionawr 2021 ymlaen
customsRegulationType.checkYourAnswersLabel	Acceptance date	Dyddiad derbyn
customsRegulationType.error.required	Select an option to continue	Dewiswch opsiwn i fynd yn eich blaen
articleType.title	Why are you applying for this repayment?	Pam yr ydych yn gwneud cais am yr ad-daliad hwn?
articleType.heading	Why are you applying for this repayment?	Pam yr ydych yn gwneud cais am yr ad-daliad hwn?
articleType.117	Overpayment of duty or VAT (Article 117)	Gordaliad o doll neu TAW (Erthygl 117)
articleType.119	Error by customs (Article 119)	Gwall ar ran yr awdurdodau tollau (Erthygl 119)
articleType.120	Exceptional circumstances (Article 120)	Amgylchiadau eithriadol (Erthygl 120)
articleType.checkYourAnswersLabel	Reason for application	Rheswm dros wneud cais
articleType.error.required	Select the reason you are applying for this repayment	Dewiswch y rheswm dros wneud cais am yr ad-daliad hwn
ukRegulationType.title	Why are you applying for this repayment?	Pam yr ydych yn gwneud cais am yr ad-daliad hwn?
ukRegulationType.heading	Why are you applying for this repayment?	Pam yr ydych yn gwneud cais am yr ad-daliad hwn?
ukRegulationType.048	Error by Customs (Regulation 48)	Gwall ar ran yr awdurdodau tollau (Rheoliad 48)
ukRegulationType.049	Lower rate was applicable (Regulation 49)	Roedd cyfradd is yn berthnasol (Rheoliad 49)
ukRegulationType.050	Overpayment of duty or VAT (Regulation 50)	Gordaliad o doll neu TAW (Rheoliad 50)
ukRegulationType.051	Rejected (Regulation 51)	Fe’i gwrthodwyd (Rheoliad 51)
ukRegulationType.052	Special circumstances (Regulation 52)	Amgylchiadau arbennig (Rheoliad 52)
ukRegulationType.053	Withdrawal of customs declaration (Regulation 53)	Tynnu datganiad tollau yn ôl (Rheoliad 53)
ukRegulationType.checkYourAnswersLabel	Reason for application	Rheswm dros wneud cais
ukRegulationType.error.required	Select why you are applying for this repayment	Dewiswch pam yr ydych yn gwneud cais am yr ad-daliad hwn
numberOfEntriesType.title	How many entries do you want to submit?	Faint o gofnodion yr ydych am eu cyflwyno?
numberOfEntriesType.heading	How many entries do you want to submit?	Faint o gofnodion yr ydych am eu cyflwyno?
numberOfEntriesType.hint	Multiple entries must be from the same importer, and have the same reason for overpayment.	Mae’n rhaid i gofnodion lluosog ddod o’r un mewnforiwr ac mae’n rhaid iddynt gynnwys yr un rheswm dros ordalu.
numberOfEntriesType.01	One entry	Un cofnod
numberOfEntriesType.02	Multiple entries	Cofnodion lluosog
numberOfEntriesType.02.hint	Number of entries	Nifer y cofnodion
numberOfEntriesType.checkYourAnswersLabel	How many entries do you want to submit?	Faint o gofnodion yr ydych am eu cyflwyno?
numberOfEntriesType.single.checkYourAnswersLabel	One entry	Un cofnod
numberOfEntriesType.multiple.checkYourAnswersLabel	Multiple entries	Cofnodion lluosog
numberOfEntriesType.error.required	Select if you want to submit one entry or more than one entry	Dewiswch a ydych am gyflwyno un cofnod neu fwy nag un cofnod
howManyEntries.title	How many entries are you claiming for?	Faint o gofnodion yr ydych yn hawlio ar eu cyfer?
howManyEntries.heading	How many entries are you claiming for?	Faint o gofnodion yr ydych yn hawlio ar eu cyfer?
howManyEntries.checkYourAnswersLabel	Number of entries	Nifer y cofnodion
howManyEntries.error.required	Enter the number of entries you are claiming for	Nodwch nifer y cofnodion rydych yn hawlio ar eu cyfer
howManyEntries.error.length	The number of entries must be between 2 and 999,999	Mae’n rhaid i nifer y cofnodion fod rhwng 2 a 999,999
entryDetails.single.title	Add the details for this entry	Ychwanegwch y manylion ar gyfer y cofnod hwn
entryDetails.multiple.title	Enter the details of the oldest entry	Nodwch fanylion y cofnod hynaf
entryDetails.single.heading	Add the details for this entry	Ychwanegwch y manylion ar gyfer y cofnod hwn
entryDetails.multiple.heading	Enter the details of the oldest entry	Nodwch fanylion y cofnod hynaf
entryDetails.importer.hint	These can be found in box 1 of the C88 document, or by asking your shipping agent or courier.	Gellir dod o hyd i’r rhain ym mlwch 1 yn y ddogfen C88, neu drwy ofyn i’ch asiant cludo neu’ch cludwr amdanynt
entryDetails.representative.hint	These can be found on the C88 document.	Gellir dod o hyd i’r rhain yn y ddogfen C88.
entryDetails.claimEpu.heading	Entry processing unit (EPU) number	Rhif yr Uned Prosesu Cofnodion (EPU)
entryDetails.claimEpu.hint	This is 3 numbers, for example 131.	Rhif 3 digid yw hwn, er enghraifft 131.
entryDetails.claimEpu.error.required	Enter the entry processing unit (EPU) number	Nodwch rif yr Uned Prosesu Cofnodion (EPU)
entryDetails.claimEpu.error.valid	Enter a three digit entry processing unit (EPU) number	Nodwch rif Uned Prosesu Cofnodion (EPU) tri digid
entryDetails.entryNumber.heading	Entry number	Rhif y cofnod
entryDetails.entryNumber.hint	This is 6 numbers and a letter, for example 123456Q.	Mae hwn yn cynnwys 6 rhif a llythyren, er enghraifft 123456Q.
entryDetails.entryNumber.error.required	Enter the entry number	Nodwch rif y cofnod
entryDetails.entryNumber.error.valid	Enter a valid entry number	Nodwch rif cofnod dilys
entryDetails.entryDate.heading	Entry date	Dyddiad y cofnod
entryDetails.entryDate.hint	For example, 25 3 2019.	Er enghraifft, 25 3 2019.
entryDetails.claimEntryDate.error.required	Enter the entry date	Nodwch ddyddiad y cofnod
entryDetails.claimEntryDate.error.invalid	Enter the entry date in the correct format	Nodwch ddyddiad y cofnod yn y fformat cywir
entryDetails.claimEntryDate.error.invalid_future	The entry date must be today or in the past	Mae’n rhaid i ddyddiad y cofnod fod heddiw neu yn y gorffennol
error.date.day_blank	Entry date must include a day	Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod
error.date.day_invalid	Enter the day in the correct format	Nodwch y diwrnod yn y fformat cywir
error.date.month_blank	Entry date must include a month	Mae’n rhaid i ddyddiad y cofnod gynnwys mis
error.date.month_invalid	Enter the month in the correct format	Nodwch y mis yn y fformat cywir
error.date.year_blank	Entry date must include a year	Mae’n rhaid i ddyddiad y cofnod gynnwys blwyddyn
error.date.year_invalid	Enter the year in the correct format	Nodwch y flwyddyn yn y fformat cywir
error.date.all	Entry date must be a real date	Mae’n rhaid i ddyddiad y cofnod fod yn ddyddiad go iawn
error.date.day_month	Entry date must include a day and month	Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod a mis
error.date.day_year	Entry date must include a day and year	Mae’n rhaid i ddyddiad y cofnod gynnwys diwrnod a blwyddyn
error.date.month_year	Entry date must include a month and year	Mae’n rhaid i ddyddiad y cofnod gynnwys mis a blwyddyn
entryDetails.checkYourAnswersLabel	Entry information	Gwybodaeth am y cofnod
entryDetails.epu.checkYourAnswersLabel	EPU number	Rhif EPU
entryDetails.number.checkYourAnswersLabel	Entry number	Rhif y cofnod
entryDetails.date.checkYourAnswersLabel	Entry date	Dyddiad y cofnod
claimEntryNumber.checkYourAnswersLabel	What is the entry number?	Beth yw rhif y cofnod?
claimEntryDate.checkYourAnswersLabel	What was the entry date?	Beth oedd dyddiad y cofnod?
applicationInformation.checkYourAnswersLabel	Application information	Gwybodaeth am y cais
claimReasonType.title	What does your application relate to?	Beth mae’ch cais yn ymwneud ag ef?
claimReasonType.heading	What does your application relate to?	Beth mae’ch cais yn ymwneud ag ef?
claimReasonType.01	Retroactive quota	Cwota ôl-weithredol
claimReasonType.02	Customs procedure code change	Newid i’r cod gweithdrefnau tollau
claimReasonType.03	Currency change	Newid i’r arian cyfred
claimReasonType.04	Commodity code change	Newid i’r cod nwyddau
claimReasonType.05	Customs special procedures	Gweithdrefnau arbennig y tollau
claimReasonType.06	Preference	Ffafriaeth
claimReasonType.07	Returned goods relief	Rhyddhad ar nwyddau a ddychwelwyd
claimReasonType.08	Return of unwanted goods	Dychwelyd nwyddau nad oes eu hangen
claimReasonType.09	Value	Gwerth
claimReasonType.10	Something not listed	Rhywbeth heb ei restru
claimReasonType.or	or	neu
claimReasonType.checkYourAnswersLabel	Reason for overpayment	Rheswm dros y gordaliad
claimReasonType.error.required	Select what your application relates to	Dewiswch beth mae’ch cais yn ymwneud ag ef
reasonForOverpayment.title	Tell us why the overpayment happened	Dywedwch wrthym pam y digwyddodd y gordaliad
reasonForOverpayment.heading	Tell us why the overpayment happened	Dywedwch wrthym pam y digwyddodd y gordaliad
reasonForOverpayment.checkYourAnswersLabel	Why the overpayment happened	Pam y digwyddodd y gordaliad
reasonForOverpayment.error.required	Tell us why the overpayment happened	Dywedwch wrthym pam y digwyddodd y gordaliad
reasonForOverpayment.error.length	Overpayment reason must be 1200 characters or less	Mae’n rhaid i’r rheswm dros y gordaliad fod yn 1200 o gymeriadau neu lai
reasonForOverpayment.hint	If you do not provide enough information, we may be unable to process your application.	Os na fyddwch yn rhoi digon o wybodaeth, mae’n bosibl na fyddwn yn gallu prosesu’ch cais.
reasonForOverpayment.p1	You can tell us about:	Gallwch roi gwybod i ni am:
reasonForOverpayment.bullet1	any commodity codes	unrhyw godau nwyddau
reasonForOverpayment.bullet2	changes in currency or exchange rates	newidiadau mewn arian cyfred neu gyfraddau cyfnewid
reasonForOverpayment.bullet3	changes to customs procedures	newidiadau mewn gweithdrefnau tollau
reasonForOverpayment.bullet4	any preferential rates or schemes that applied	unrhyw gynlluniau neu gyfraddau ffafriol a oedd yn berthnasol
reasonForOverpayment.bullet5	whether any items were replaced or refunded, and why	p’un a gafodd unrhyw eitemau eu newid neu eu had-dalu, a pham
reasonForOverpayment.bullet6	changes to the value of goods	newidiadau i werth nwyddau
reasonForOverpayment.bullet7	the number of items or goods	nifer yr eitemau neu’r nwyddau
reasonForOverpayment.bullet8	a description of the items or goods	disgrifiad o’r eitemau neu’r nwyddau
claimRepaymentType.title	What do you want to reclaim?	Beth hoffech ei adennill?
claimRepaymentType.heading	What do you want to reclaim?	Beth hoffech ei adennill?
claimRepaymentType.representative.hint	Select all that apply.	Dewiswch bob un sy’n berthnasol.
claimRepaymentType.importer.hint	<p>You can check with your shipping courier if you are not sure.</p> <div class="govuk-hint">Select all that apply.</div>	<p>Gallwch wirio gyda’ch cludwr os nad ydych yn siŵr.</p> <div class="govuk-hint">Dewiswch bob un sy’n berthnasol.</div>
claimRepaymentType.01	Customs Duty	Toll Dramor
claimRepaymentType.02	VAT	TAW
claimRepaymentType.03	Another type of duty	Math arall o doll
claimRepaymentType.checkYourAnswersLabel	What do you want to reclaim?	Beth hoffech ei adennill?
claimRepaymentType.error.required	Select what you want to reclaim	Dewiswch beth yr hoffech ei adennill
evidenceSupportingDocs.title	Required supporting documents	Dogfennau ategol angenrheidiol
evidenceSupportingDocs.heading	Required supporting documents	Dogfennau ategol angenrheidiol
evidenceSupportingDocs.paragraph1	These are the documents we must have to process your claim.	Dyma’r dogfennau y mae’n rhaid i ni eu cael i brosesu’ch hawliad.
evidenceSupportingDocs.h2	Types of files you can upload	Y mathau o ffeiliau y gallwch eu huwchlwytho
evidenceSupportingDocs.checkYourAnswersLabel	Supporting documents	Dogfennau ategol
evidenceSupportingDocs.error.required	Select Supporting documents	Dewiswch ddogfennau ategol
claimReason.documents.c88	<b>C88</b>, which authorises imports from the country of origin	<b>C88</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol
claimReason.documents.e2	<b>E2</b>, which authorises imports from the country of origin	<b>E2</b>, sy’n awdurdodi mewnforion o’r wlad wreiddiol
claimReason.documents.commercial_invoice	<b>Commercial invoice</b>, which shows the value of the goods	<b>Anfoneb fasnachol</b>, sy’n dangos gwerth y nwyddau
claimReason.documents.substitute_entry	<b>Substitute entry</b>, which shows changes made to the original entry	<b>Cofnod cyfnewid</b>, sy’n dangos newidiadau a wnaed i’r cofnod gwreiddiol
claimReason.documents.currency_charge_evicence	Evidence that the invoice has been corrected in another currency	Tystiolaeth bod yr anfoneb wedi’i chywiro mewn arian cyfred arall
claimReason.documents.airway_bill	<b>Airway bill</b> or <b>bill of lading</b> that show shipping details	<b>Bil teithrestr awyr</b> neu <b>bil llwytho</b>, sy’n dangos y manylion cludo
claimReason.documents.proof_of_origin	<b>Proof of origin documents</b>, such as a GSP certificate	<b>Dogfennau tystiolaeth o darddiad</b>, megis tystysgrif GSP
claimReason.documents.proof_of_quota	Proof of the quota and commodity codes that are being claimed against	Tystiolaeth o’r cwota a’r codau nwyddau y gwneir hawliad yn eu herbyn
claimReason.documents.proof_of_return	Proof of return	Prawf o ddychwelyd
claimReason.documents.evidence_of_export	Evidence of the original export	Tystiolaeth o’r allforio gwreiddiol
claimReason.documents.evidence_of_corrected_invoice	Evidence of corrected invoice	Tystiolaeth o anfoneb wedi’i chywiro
claimReason.documents.additional.documents.para	You may also include additional documents if you think they are relevant.	Gallwch hefyd gynnwys dogfennau ychwanegol os ydych yn credu eu bod yn berthnasol.
declarantReferenceNumber.title	Do you want to use your own reference?	A hoffech ddefnyddio’ch cyfeirnod eich hun?
declarantReferenceNumber.heading	Do you want to use your own reference?	A hoffech ddefnyddio’ch cyfeirnod eich hun?
declarantReferenceNumber.hint1	This could be an employee reference or something else to help identify who is making this application. We will only include it in letters about this application.	Gallai hyn fod yn gyfeirnod cyflogai neu’n rhywbeth arall i helpu i amlygu pwy sy’n gwneud y cais hwn. Byddwn ond yn ei gynnwys mewn llythyrau ynghylch y cais hwn.
declarantReferenceNumber.hint2	You will be given a separate application reference when this application is complete.	Rhoddir cyfeirnod cais ar wahân i chi pan fydd y cais hwn wedi’i gwblhau.
declarantReferenceNumber.01	Yes	Iawn
declarantReferenceNumber.02	No	Na
declarantReferenceNumber.checkYourAnswersLabel.answer	Your reference	Eich cyfeirnod
declarantReferenceNumber.yes.checkYourAnswersLabel	Yes	Iawn
declarantReferenceNumber.no.checkYourAnswersLabel	No	Na
declarantReferenceNumber.checkYourAnswersLabel.question	Do you want to use your own reference?	A hoffech ddefnyddio’ch cyfeirnod eich hun?
declarantReferenceNumber.error.required.declarantReferenceNumber	Enter a reference	Nodwch gyfeirnod
declarantReferenceNumber.error.invalid.length	The reference must be 50 characters or less	Rhaid i’r cyfeirnod fod yn 50 o gymeriadau neu lai
declarantReferenceNumber.error.required	Select yes if you want to use your own reference	Dewiswch ‘Iawn’ os hoffech ddefnyddio’ch cyfeirnod eich hun
importerName.title	What is the name on the import documents?	Beth yw’r enw ar y dogfennau mewnforio?
importerName.heading	What is the name on the import documents?	Beth yw’r enw ar y dogfennau mewnforio?
importerName.checkYourAnswersLabel	Name on import documents	Enw ar y dogfennau mewnforio
importerName.error.required	Enter the name on the import documents	Nodwch yr enw sydd ar y dogfennau mewnforio
importerName.error.length	Name on the import documents must be 512 characters or less	Mae’n rhaid i’r enw sydd ar y dogfennau mewnforio fod yn 512 o gymeriadau neu lai
importerName.error.invalid	Name on the import documents must only include letters a to z, numbers 0 to 9, ampersands (&), apostrophes, commas, exclamation marks, forward slashes, full stops, hyphens, round brackets, speech marks, underscores and spaces	Mae’r enw sydd ar y dogfennau mewnforio ond yn gallu cynnwys y llythrennau a i z, y rhifau 0 i 9, ampersandau (&), collnodau, comas, ebychnodau, blaenslaesau, atalnodau llawn, cysylltnodau, cromfachau crwn, dyfynodau, tanlinellau a bylchau
phoneNumber.title	Enter your phone number	Nodwch eich rhif ffôn
phoneNumber.heading	Enter your phone number	Nodwch eich rhif ffôn
phoneNumber.checkYourAnswersLabel	Phone number	Rhif ffôn
phoneNumber.error.required	Enter your phone number	Nodwch eich rhif ffôn
phoneNumber.error.length	Phone number must be 11 numbers	Mae’n rhaid i’r rhif ffôn fod yn 11 rhif
phoneNumber.error.invalid	Enter a phone number beginning with 0	Nodwch rif ffôn gan ddechrau gyda 0
phoneNumber.hint	Enter a UK landline or mobile number, like 07700 900 982 or 01632 960 001.	Nodwch rif ffôn llinell dir neu rif ffôn symudol yn y DU, fel 07700 900 982 neu 01632 960 001.
emailAddress.title	How can we contact you?	Sut y gallwn gysylltu â chi?
emailAddress.heading	How can we contact you?	Sut y gallwn gysylltu â chi?
emailAddress.01	Yes	Iawn
emailAddress.02	No	Na
emailAddress.hintText	<p>We will use these details if we need to contact you for further information.</p> <div class="govuk-hint">Select at least one option.</div>	<p>Byddwn yn defnyddio’r manylion hyn os bydd angen i ni gysylltu â chi i gael rhagor o wybodaeth.</p> <div class="govuk-hint">Dewiswch o leiaf un opsiwn.</div>
emailAddress.01.hint	Email address	Cyfeiriad e-bost
emailAddress.checkYourAnswersLabel	Email address	Cyfeiriad e-bost
emailAddress.error.required	Enter an email address	Nodwch gyfeiriad e-bost
emailAddress.error.selection.required	Select if we can contact you by email	Dewiswch p’un a allwn gysylltu â chi drwy e-bost neu beidio
emailAddress.error.length	Email Address must be 85 characters or less	Mae’n rhaid i’r cyfeiriad e-bost fod yn 85 o gymeriadau neu lai
emailAddress.error.invalid	Enter an email address in the correct format, like name@example.com	Nodwch gyfeiriad e-bost yn y fformat cywir, megis enw@enghraifft.com
whomToPay.title	Who is to be repaid?	Pwy sydd i’w ad-dalu?
whomToPay.heading	Who is to be repaid?	Pwy sydd i’w ad-dalu?
whomToPay.01	Importer	Mewnforiwr
whomToPay.02	Representative	Cynrychiolydd
whomToPay.checkYourAnswersLabel	Who is to be repaid?	Pwy sydd i’w ad-dalu?
whomToPay.error.required	Select who you want to send the repayment to	Dewiswch at bwy yr hoffech anfon yr ad-daliad
repaymentType.title	Select repayment method	Dewiswch ddull ad-dalu
repaymentType.heading	Select repayment method	Dewiswch ddull ad-dalu
repaymentType.01	Current month amendment (CMA)	Diwygiad mis cyfredol (CMA)
repaymentType.02	Bank transfer (Bacs)	Trosglwyddiad banc (Bacs)
repaymentType.checkYourAnswersLabel	Payment method	Dull talu
repaymentType.error.required	Select how you want to receive the repayment	Dewiswch sut yr hoffech gael yr ad-daliad
repaymentType..help.header	What is a current month amendment?	Beth yw diwygiad mis cyfredol?
repaymentType.help.p1	A current month amendment is an accounting adjustment to a deferment account.	Mae diwygiad mis cyfredol yn addasiad cyfrifyddu a wneir i gyfrif gohirio.
repaymentType.help.p2	This can only be made if the original payment was from a deferment account.	Gellir ond gwneud hyn os oedd y taliad gwreiddiol yn dod o gyfrif gohirio.
enterAgentEORI.title	What is the importer’s EORI number?	Beth yw rhif EORI y mewnforiwr?
enterAgentEORI.heading	What is the importer’s EORI number?	Beth yw rhif EORI y mewnforiwr?
enterAgentEORI.hint	This is 2 letters, followed by either 12 or 15 numbers, like ‘GB123456789123’ or ‘GB123456789123000’.	Mae hyn yn 2 lythyren, wedi’u dilyn gan naill ai 12 neu 15 rhif, fel ‘GB123456789123’ neu ‘GB123456789123000’.
enterAgentEORI.checkYourAnswersLabel	Importer EORI number	Rhif EORI y mewnforiwr
enterAgentEORI.error.required	Enter the importer’s EORI number	Nodwch rif EORI y mewnforiwr
enterAgentEORI.error.valid	Enter the importer’s EORI number in the correct format	Nodwch rif EORI y mewnforiwr yn y fformat cywir
agentImporterHasEORI.title	Does the importer have an EORI number?	A oes gan y mewnforiwr rif EORI?
agentImporterHasEORI.heading	Does the importer have an EORI number?	A oes gan y mewnforiwr rif EORI?
agentImporterHasEORI.01	Yes	Iawn
agentImporterHasEORI.02	No	Na
agentImporterHasEORI.checkYourAnswersLabel	Does the importer have an EORI number?	A oes gan y mewnforiwr rif EORI?
agentImporterHasEORI.error.required	Select yes if the importer has an EORI number	Dewiswch ‘Iawn’ os oes gan y mewnforiwr rif EORI
importerHasEori.details.header	Help with EORI numbers	Help gyda rhifau EORI
importerHasEori.details.p1	EORI numbers are needed to move goods between Great Britain and other countries.	Mae angen rhifau EORI i symud nwyddau rhwng Prydain Fawr a gwledydd eraill.
importerHasEori.details.p2	If a trader is registered for VAT, they will already have an EORI number.	Os yw masnachwr wedi’i gofrestru ar gyfer TAW, bydd ganddo rif EORI yn barod.
importerHasEori.details.p3	Private individuals do not need an EORI number where goods are imported for personal use.	Nid oes angen rhif EORI ar unigolion preifat os yw nwyddau’n cael eu mewnforio at ddefnydd personol.
isImporterVatRegistered.title	Is the importer VAT registered?	A yw’r mewnforiwr wedi’i gofrestru ar gyfer TAW?
isImporterVatRegistered.heading	Is the importer VAT registered?	A yw’r mewnforiwr wedi’i gofrestru ar gyfer TAW?
isImporterVatRegistered.01	Yes	Iawn
isImporterVatRegistered.02	No	Na
isImporterVatRegistered.checkYourAnswersLabel	Is the importer VAT registered?	A yw’r mewnforiwr wedi’i gofrestru ar gyfer TAW?
